name,swing precision,swing recall,swing fscore,woba
 Jhoulys Chacin,0.7230769230769231,0.6666666666666666,0.6937269372693726,0.175
 Carlos Gonzalez,0.6440677966101694,0.7281437125748503,0.6835300730747611,0.338
 Luis Valbuena,0.6879194630872483,0.6833333333333333,0.68561872909699,0.253
 Jordy Mercer,0.6846361185983828,0.6076555023923444,0.6438529784537389,0.296
 Brandon Belt,0.7508379888268156,0.7724137931034483,0.7614730878186969,0.327
 Tyson Ross,0.7647058823529411,0.6435643564356436,0.6989247311827956,0.206
 Yonder Alonso,0.6776255707762557,0.7310344827586207,0.7033175355450237,0.319
 Ryan Flaherty,0.7546583850931677,0.7105263157894737,0.7319277108433735,0.258
 Justin Smoak,0.6931702344546381,0.6148282097649186,0.6516530905606133,0.349
 Ryan Zimmerman,0.690978886756238,0.5844155844155844,0.6332453825857519,0.351
 Jeremy Hellickson,0.6721311475409836,0.5466666666666666,0.6029411764705882,0.066
 Jed Lowrie,0.7649880095923262,0.705232129697863,0.7338957055214724,0.347
 Pedro Alvarez,0.6756756756756757,0.6048387096774194,0.6382978723404256,0.304
 Clayton Kershaw,0.6024096385542169,0.5263157894736842,0.5617977528089888,0.287
 Alex Avila,0.8218390804597702,0.5641025641025641,0.6690058479532164,0.273
 Peter Bourjos,0.7307692307692307,0.6477272727272727,0.6867469879518072,0.258
 Michael Brantley Jr.,0.7289156626506024,0.6522911051212938,0.6884779516358465,0.359
 Jason Castro,0.7913043478260869,0.6791044776119403,0.7309236947791165,0.231
 Tony Cruz,0.5,0.5454545454545454,0.5217391304347826,0.194
 Chase d'Arnaud,0.5958549222797928,0.625,0.610079575596817,0.266
 Wade Miley,0.5660377358490566,0.625,0.594059405940594,0.182
 Logan Morrison,0.7060561299852289,0.7209653092006033,0.7134328358208955,0.283
 Gorkys Hernandez,0.7061452513966481,0.7198177676537585,0.7129159616469262,0.292
 Jesus Sucre,0.6200527704485488,0.734375,0.6723891273247496,0.219
 Yoenis Cespedes,0.6438356164383562,0.6666666666666666,0.6550522648083623,0.345
 Yuli Gurriel,0.6308654848800834,0.6867196367763905,0.6576086956521738,0.323
 Gordon Beckham,0.7857142857142857,0.8105263157894737,0.7979274611398963,0.212
 Ronny Rodriguez,0.6116504854368932,0.6847826086956522,0.6461538461538462,0.257
 Yangervis Solarte,0.604989604989605,0.762778505897772,0.6747826086956521,0.284
 Miguel Rojas,0.675,0.6552072800808898,0.6649563878912264,0.281
 Jose Quintana,0.7227722772277227,0.6083333333333333,0.6606334841628959,0.068
 Eduardo Escobar,0.6487119437939111,0.7238675958188153,0.6842321943186496,0.346
 Jose Martinez,0.6787109375,0.6358645928636779,0.6565895134624469,0.356
 Moises Sierra,0.7211538461538461,0.6521739130434783,0.6849315068493151,0.191
 Ehire Adrianza,0.7332361516034985,0.6976421636615812,0.7149964463397299,0.294
 Juan Lagares,0.7,0.7129629629629629,0.7064220183486237,0.329
 Abraham Almonte,0.6654411764705882,0.6350877192982456,0.6499102333931778,0.244
 David Freese,0.7371323529411765,0.625585023400936,0.6767932489451477,0.357
 Khris Davis,0.7619433198380566,0.7600969305331179,0.7610190052567731,0.365
 Tommy Pham,0.765695067264574,0.5980735551663747,0.671583087512291,0.359
 Lonnie Chisenhall,0.6971428571428572,0.7093023255813954,0.7031700288184438,0.366
 J.D. Martinez,0.6882399368587214,0.7472150814053128,0.7165160230073954,0.427
 Kristopher Negron,0.7567567567567568,0.7272727272727273,0.7417218543046358,0.242
 Danny Valencia,0.6725274725274726,0.6023622047244095,0.6355140186915889,0.31
 Josh Reddick,0.6658795749704841,0.6520231213872832,0.6588785046728972,0.311
 Craig Gentry,0.7466666666666667,0.6829268292682927,0.713375796178344,0.295
 Jarrod Dyson,0.7472527472527473,0.6031042128603105,0.6674846625766873,0.244
 Daniel Murphy,0.7234375,0.6993957703927492,0.7112135176651305,0.338
 Chase Anderson,0.6739130434782609,0.62,0.6458333333333334,0.078
